episode,reward,loss
0,14.0,0.19849693775177002
1,13.0,0.03943866491317749
2,14.0,1.4092739820480347
3,10.0,-0.2323228120803833
4,27.0,-0.2257683277130127
5,16.0,-0.33887559175491333
6,11.0,-0.32201626896858215
7,20.0,-0.10388553142547607
8,13.0,-1.1694289445877075
9,10.0,-0.2855990529060364
10,13.0,1.9153788089752197
11,11.0,0.9926255941390991
12,11.0,-0.6919375658035278
13,15.0,-0.4520547389984131
14,20.0,-0.3453652858734131
15,16.0,-0.3803561329841614
16,11.0,1.2215266227722168
17,11.0,-2.3401291370391846
18,12.0,3.182793617248535
19,13.0,-1.0015180110931396
